账号ID,密码,职业类型,姓名,头像,服务地区,省份,城市,手机号,微信号,个人简介
lj_026,Pass1234,礼仪师,丁伟,avatar26.png,四川省,四川省,泸州市,13800000026,dingwei26,泸州礼仪师
lj_027,Pass1234,礼仪师,魏静,avatar27.png,四川省,四川省,德阳市,13800000027,weijing27,德阳本地礼仪服务
lj_028,Pass1234,礼仪师,薛峰,avatar28.png,四川省,四川省,广元市,13800000028,xuefeng28,广元礼仪师
lj_029,Pass1234,礼仪师,叶敏,avatar29.png,四川省,四川省,内江市,13800000029,yemin29,内江礼仪服务
lj_030,Pass1234,礼仪师,阎杰,avatar30.png,四川省,四川省,乐山市,13800000030,yanjie30,乐山礼仪师
lj_031,Pass1234,入殓师,潘虹,avatar31.png,全国,四川省,成都市,13800000031,panhong31,专业入殓师，20年经验
lj_032,Pass1234,入殓师,汪涛,avatar32.png,四川省,四川省,成都市,13800000032,wangtao32,入殓技术精湛
lj_033,Pass1234,入殓师,戴丽,avatar33.png,四川省,四川省,绵阳市,13800000033,daili33,绵阳入殓师
lj_034,Pass1234,入殓师,宋强,avatar34.png,四川省,四川省,达州市,13800000034,songqiang34,达州入殓服务
lj_035,Pass1234,入殓师,熊芳,avatar35.png,四川省,四川省,南充市,13800000035,xiongfang35,细致入殓服务
lj_036,Pass1234,入殓师,金伟,avatar36.png,四川省,四川省,泸州市,13800000036,jinwei36,泸州入殓师
lj_037,Pass1234,入殓师,陆静,avatar37.png,四川省,四川省,德阳市,13800000037,lujing37,德阳入殓服务
lj_038,Pass1234,入殓师,郝峰,avatar38.png,四川省,四川省,广元市,13800000038,haofeng38,广元入殓师
lj_039,Pass1234,入殓师,孔敏,avatar39.png,四川省,四川省,内江市,13800000039,kongmin39,内江入殓服务
lj_040,Pass1234,入殓师,白杰,avatar40.png,四川省,四川省,乐山市,13800000040,baijie40,乐山入殓师
lj_041,Pass1234,花艺师,田静,avatar41.png,四川省,四川省,成都市,13800000041,tianjing41,专业殡葬花艺师，插花艺术精湛
lj_042,Pass1234,花艺师,龙伟,avatar42.png,四川省,四川省,成都市,13800000042,longwei42,传统花艺与现代设计结合
lj_043,Pass1234,花艺师,叶芳,avatar43.png,四川省,四川省,绵阳市,13800000043,yefang43,温馨花艺，用心设计每一束花
lj_044,Pass1234,花艺师,白强,avatar44.png,四川省,四川省,达州市,13800000044,baiqiang44,达州本地花艺师
lj_045,Pass1234,花艺师,邵敏,avatar45.png,四川省,四川省,南充市,13800000045,shaomin45,花艺设计独具匠心
lj_046,Pass1234,花艺师,史杰,avatar46.png,四川省,四川省,泸州市,13800000046,shijie46,泸州花艺服务专家
lj_047,Pass1234,花艺师,常丽,avatar47.png,四川省,四川省,德阳市,13800000047,changli47,德阳本地花艺师
lj_048,Pass1234,花艺师,万峰,avatar48.png,四川省,四川省,广元市,13800000048,wanfeng48,广元地区花艺师
lj_049,Pass1234,花艺师,严娜,avatar49.png,四川省,四川省,内江市,13800000049,yanna49,内江花艺服务
lj_050,Pass1234,花艺师,齐涛,avatar50.png,四川省,四川省,乐山市,13800000050,qitao50,乐山花艺师
lj_051,Pass1234,摄像师,安慧,avatar51.png,全国,四川省,成都市,13800000051,anhui51,专业殡葬摄像师，设备先进
lj_052,Pass1234,摄像师,易明,avatar52.png,四川省,四川省,成都市,13800000052,yiming52,影像记录，留存美好回忆
lj_053,Pass1234,摄像师,钱伟,avatar53.png,四川省,四川省,绵阳市,13800000053,qianwei53,绵阳摄像服务
lj_054,Pass1234,摄像师,汤芳,avatar54.png,四川省,四川省,达州市,13800000054,tangfang54,达州本地摄像师
lj_055,Pass1234,摄像师,秦静,avatar55.png,四川省,四川省,南充市,13800000055,qinjing55,南充摄像专家
lj_056,Pass1234,摄像师,孟强,avatar56.png,四川省,四川省,泸州市,13800000056,mengqiang56,泸州摄像师
lj_057,Pass1234,摄像师,平丽,avatar57.png,四川省,四川省,德阳市,13800000057,pingli57,德阳摄像服务
lj_058,Pass1234,摄像师,黄杰,avatar58.png,四川省,四川省,广元市,13800000058,huangjie58,广元地区摄像师
lj_059,Pass1234,摄像师,梁敏,avatar59.png,四川省,四川省,内江市,13800000059,liangmin59,内江摄像服务
lj_060,Pass1234,摄像师,宋伟,avatar60.png,四川省,四川省,乐山市,13800000060,songwei60,乐山摄像师
lj_061,Pass1234,摄影师,唐娜,avatar61.png,全国,四川省,成都市,13800000061,tangna61,专业殡葬摄影师，定格永恒瞬间
lj_062,Pass1234,摄影师,罗刚,avatar62.png,四川省,四川省,成都市,13800000062,luogang62,光影艺术，记录珍贵时刻
lj_063,Pass1234,摄影师,苏丽,avatar63.png,四川省,四川省,绵阳市,13800000063,suli63,绵阳摄影服务
lj_064,Pass1234,摄影师,董明,avatar64.png,四川省,四川省,达州市,13800000064,dongming64,达州本地摄影师
lj_065,Pass1234,摄影师,范静,avatar65.png,四川省,四川省,南充市,13800000065,fanjing65,南充摄影专家
lj_066,Pass1234,摄影师,于强,avatar66.png,四川省,四川省,泸州市,13800000066,yuqiang66,泸州摄影师
lj_067,Pass1234,摄影师,袁芳,avatar67.png,四川省,四川省,德阳市,13800000067,yuanfang67,德阳摄影服务
lj_068,Pass1234,摄影师,傅伟,avatar68.png,四川省,四川省,广元市,13800000068,fuwei68,广元地区摄影师
lj_069,Pass1234,摄影师,沈娜,avatar69.png,四川省,四川省,内江市,13800000069,shenna69,内江摄影服务
lj_070,Pass1234,摄影师,曾杰,avatar70.png,四川省,四川省,乐山市,13800000070,zengjie70,乐山摄影师
lj_071,Pass1234,歌手,陆勇,avatar71.png,全国,四川省,成都市,13800000071,luyong71,专业葬礼歌手，声音浑厚感人
lj_072,Pass1234,歌手,姚丽,avatar72.png,四川省,四川省,成都市,13800000072,yaoli72,用歌声传递思念与祝福
lj_073,Pass1234,歌手,吕明,avatar73.png,四川省,四川省,绵阳市,13800000073,lvming73,绵阳歌手
lj_074,Pass1234,歌手,方静,avatar74.png,四川省,四川省,达州市,13800000074,fangjing74,达州本地歌手
lj_075,Pass1234,歌手,夏芳,avatar75.png,四川省,四川省,南充市,13800000075,xiafang75,南充歌手
lj_076,Pass1234,歌手,汪强,avatar76.png,四川省,四川省,泸州市,13800000076,wangqiang76,泸州歌手
lj_077,Pass1234,歌手,丁娜,avatar77.png,四川省,四川省,德阳市,13800000077,dingna77,德阳歌手
lj_078,Pass1234,歌手,雷伟,avatar78.png,四川省,四川省,广元市,13800000078,leiwei78,广元地区歌手
lj_079,Pass1234,歌手,任丽,avatar79.png,四川省,四川省,内江市,13800000079,renli79,内江歌手
lj_080,Pass1234,歌手,贾明,avatar80.png,四川省,四川省,乐山市,13800000080,jiaming80,乐山歌手
lj_081,Pass1234,舞蹈,周婷,avatar81.png,全国,四川省,成都市,13800000081,zhouting81,专业葬礼舞蹈演员，舞姿优雅
lj_082,Pass1234,舞蹈,吴芳,avatar82.png,四川省,四川省,成都市,13800000082,wufang82,传统舞蹈与现代舞蹈结合
lj_083,Pass1234,舞蹈,郑丽,avatar83.png,四川省,四川省,绵阳市,13800000083,zhengli83,绵阳舞蹈服务
lj_084,Pass1234,舞蹈,王娜,avatar84.png,四川省,四川省,达州市,13800000084,wangna84,达州本地舞蹈演员
lj_085,Pass1234,舞蹈,李静,avatar85.png,四川省,四川省,南充市,13800000085,lijing85,南充舞蹈专家
lj_086,Pass1234,舞蹈,张丽,avatar86.png,四川省,四川省,泸州市,13800000086,zhangli86,泸州舞蹈演员
lj_087,Pass1234,舞蹈,刘芳,avatar87.png,四川省,四川省,德阳市,13800000087,liufang87,德阳舞蹈服务
lj_088,Pass1234,舞蹈,陈娜,avatar88.png,四川省,四川省,广元市,13800000088,chenna88,广元地区舞蹈演员
lj_089,Pass1234,舞蹈,杨丽,avatar89.png,四川省,四川省,内江市,13800000089,yangli89,内江舞蹈服务
lj_090,Pass1234,舞蹈,黄婷,avatar90.png,四川省,四川省,乐山市,13800000090,huangting90,乐山舞蹈演员
lj_091,Pass1234,乐队,赵强,avatar91.png,全国,四川省,成都市,13800000091,zhaoqiang91,专业葬礼乐队，乐器齐全
lj_092,Pass1234,乐队,钱伟,avatar92.png,四川省,四川省,成都市,13800000092,qianwei92,乐队演奏，庄严肃穆
lj_093,Pass1234,乐队,孙明,avatar93.png,四川省,四川省,绵阳市,13800000093,sunming93,绵阳乐队服务
lj_094,Pass1234,乐队,李刚,avatar94.png,四川省,四川省,达州市,13800000094,ligang94,达州本地乐队
lj_095,Pass1234,乐队,周杰,avatar95.png,四川省,四川省,南充市,13800000095,zhoujie95,南充乐队专家
lj_096,Pass1234,乐队,吴涛,avatar96.png,四川省,四川省,泸州市,13800000096,wutao96,泸州乐队
lj_097,Pass1234,乐队,郑强,avatar97.png,四川省,四川省,德阳市,13800000097,zhengqiang97,德阳乐队服务
lj_098,Pass1234,乐队,王峰,avatar98.png,四川省,四川省,广元市,13800000098,wangfeng98,广元地区乐队
lj_099,Pass1234,乐队,李明,avatar99.png,四川省,四川省,内江市,13800000099,liming99,内江乐队服务
lj_100,Pass1234,乐队,张涛,avatar100.png,四川省,四川省,乐山市,13800000100,zhangtao100,乐山乐队
lj_101,Pass1234,法事,刘道士,avatar101.png,全国,四川省,成都市,13800000101,liudaoshi101,道教法师，法事经验丰富
lj_102,Pass1234,法事,陈法师,avatar102.png,四川省,四川省,成都市,13800000102,chenfashi102,传统法事，超度亡灵
lj_103,Pass1234,法事,王道士,avatar103.png,四川省,四川省,绵阳市,13800000103,wangdaoshi103,绵阳法事服务
lj_104,Pass1234,法事,李法师,avatar104.png,四川省,四川省,达州市,13800000104,lifashi104,达州本地法师
lj_105,Pass1234,法事,张道士,avatar105.png,四川省,四川省,南充市,13800000105,zhangdaoshi105,南充法事专家
lj_106,Pass1234,法事,赵法师,avatar106.png,四川省,四川省,泸州市,13800000106,zhaofashi106,泸州法师
lj_107,Pass1234,法事,孙道士,avatar107.png,四川省,四川省,德阳市,13800000107,sundaoshi107,德阳法事服务
lj_108,Pass1234,法事,钱法师,avatar108.png,四川省,四川省,广元市,13800000108,qianfashi108,广元地区法师
lj_109,Pass1234,法事,周道士,avatar109.png,四川省,四川省,内江市,13800000109,zhoudaoshi109,内江法事服务
lj_110,Pass1234,法事,吴法师,avatar110.png,四川省,四川省,乐山市,13800000110,wufashi110,乐山法师
lj_111,Pass1234,殡仪馆,张馆长,avatar111.png,全国,四川省,成都市,13800000111,zhangguanzhang111,成都殡仪馆馆长，服务专业
lj_112,Pass1234,殡仪馆,李主任,avatar112.png,四川省,四川省,成都市,13800000112,lizhuren112,殡仪馆服务主任
lj_113,Pass1234,殡仪馆,王经理,avatar113.png,四川省,四川省,绵阳市,13800000113,wangjingli113,绵阳殡仪馆服务
lj_114,Pass1234,殡仪馆,刘主管,avatar114.png,四川省,四川省,达州市,13800000114,liuzhuguan114,达州殡仪馆主管
lj_115,Pass1234,殡仪馆,陈经理,avatar115.png,四川省,四川省,南充市,13800000115,chenjingli115,南充殡仪馆服务
lj_116,Pass1234,殡仪馆,赵主任,avatar116.png,四川省,四川省,泸州市,13800000116,zhaozhuren116,泸州殡仪馆主任
lj_117,Pass1234,殡仪馆,孙馆长,avatar117.png,四川省,四川省,德阳市,13800000117,sunguanzhang117,德阳殡仪馆馆长
lj_118,Pass1234,殡仪馆,钱主管,avatar118.png,四川省,四川省,广元市,13800000118,qianzhuguan118,广元殡仪馆主管
lj_119,Pass1234,殡仪馆,周经理,avatar119.png,四川省,四川省,内江市,13800000119,zhoujingli119,内江殡仪馆服务
lj_120,Pass1234,殡仪馆,吴馆长,avatar120.png,四川省,四川省,乐山市,13800000120,wuguanzhang120,乐山殡仪馆馆长
